 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm),label
3.8971026,0.93,2.61,10,0.05,0.07,0.13,0.22,0.94,49.8,1004.5,good
3.8971026,0.47,2.44,9.26,0.05,0.01,0.01,0.28,0.87,56.08,1075,good
3.8971026,0.2,2.63,9.05,-0.02,0.01,0.01,0.28,0.87,60,1075,good
3.8843834,0.72,3.35,10.15,0.07,0.03,0.06,0.27,0.9,64.71,1120.5,good
3.8843834,0.42,3.31,10.09,0.07,0.01,0.07,0.25,0.87,67.84,1186.5,good
3.8843834,1.2,3.5,10.11,0.07,0.05,0.13,0.31,0.9,67.84,1186.5,good
3.8843834,0.81,3.47,10.46,0.15,0.07,0.06,0.39,0.9,71.37,1260.5,good
3.8843834,0.56,3.4,9.24,0.08,-0.04,0.07,0.32,0.8,70.59,1260.5,good
3.8843834,1.09,2.86,9.33,0.02,-0.03,0.06,0.31,0.82,70.59,1327,good
3.8843834,1.48,3.22,9.39,0.04,0.02,0.14,0.38,0.83,70.98,1406,good
3.8843834,1.85,2.69,8.88,0.05,0.02,0.14,0.38,0.83,73.33,1406,good
3.8843834,2.58,3.12,9.94,0.05,0.09,0.24,0.32,0.91,72.55,1465,good
3.8069,2.71,2.36,9.53,0.06,0.09,0.3,0.29,0.91,73.73,1465,good
3.8069,2.13,2.64,8.91,0.04,0.06,0.31,0.14,0.91,73.33,1524,good
3.8069,2.7,2.03,8.98,0.03,0.06,0.3,0.25,0.89,75.69,1592.5,good
3.8069,3.73,1.37,9.91,0.11,0.02,0.35,0.19,0.84,76.08,1592.5,good
3.8069,3.96,0.77,9.59,0.1,0.02,0.35,0.19,0.84,76.86,1670.5,good
3.8069,3.29,2.16,9.82,0.08,0.14,0.4,0.08,0.96,78.04,1670.5,good
3.8069,3.12,1.29,9.06,0.06,0.08,0.35,0.16,0.91,78.04,1752.5,good
3.8069,3.28,0.72,8.95,-0.01,0.02,0.29,0.19,0.86,70.98,1752.5,good
3.8090405,2.33,0.98,9.45,0.04,0.05,0.32,0.16,0.89,49.02,1867.5,good
3.8090405,1.75,0.78,9.4,0.03,0.01,0.26,0.07,0.87,29.8,1867.5,good
3.8090405,1.7,1.05,9.8,0.04,-0.09,0.2,0.09,0.79,28.63,1865,good
3.8090405,1.8,1.35,10.63,0.04,-0.09,0.2,0.09,0.79,27.06,1865,good
3.8090405,1.3,0.91,9.66,0.03,0.02,0.2,0.04,0.9,26.67,1911.5,good
3.8090405,1.91,0.49,9.86,0.04,0.07,0.1,0.28,0.93,40,1956.5,good
3.8090405,1.55,1.76,9.64,0.03,0.12,0.2,0.19,0.99,50.2,1956.5,good
3.8090405,1.81,2.43,8.91,0.02,0.04,0.2,0.23,0.9,48.63,1984,good
3.8090405,1.95,0.95,6.76,-0.03,0.03,0.23,0.14,0.9,50.98,1984,good
3.8751392,2.71,0.19,8.22,0.01,0.05,0.25,0.17,0.9,50.2,1955,good
3.8751392,2.63,0.43,10.72,0.07,0.05,0.08,0.25,0.92,52.16,2028.5,good
3.8751392,1.41,1.08,8.76,-0.07,0.05,0.08,0.25,0.92,52.55,2028.5,good
3.8751392,3.79,2.9,13.84,0,-0.09,0.21,0.22,0.76,52.94,2120.5,good
3.8751392,2.32,1.27,9.06,0.02,0.02,0.28,0.13,0.88,51.76,2120.5,good
3.8751392,1.17,1.36,9.16,-0.03,-0.16,0.2,0.1,0.71,39.61,2093,good
3.8751392,0.91,1.03,9.99,0.01,0.01,0.11,0.05,0.9,20.39,2093,good
3.8751392,2.51,-0.1,9.59,0.03,0.06,0.17,0.11,0.94,19.22,2122.5,good
3.8751392,2.39,-0.35,10.72,0.02,0.06,0.17,0.11,0.94,18.82,2140.5,good
3.8884778,1.5,0.31,11.15,0.17,0.05,0.08,0.12,0.94,18.43,2140.5,good
3.8884778,2.16,-0.27,10.05,0.06,0.01,0.17,0.04,0.9,17.25,2176.5,good
3.8884778,2.18,0.17,11.2,0.07,-0.03,0.15,0.08,0.86,17.65,2176.5,good
3.8884778,1.05,-0.16,8.81,-0.08,0.01,0.16,-0.02,0.9,17.65,2121,good
3.8884778,0.81,0.08,9.79,0,0.02,0.1,-0.03,0.92,19.22,2121,good
3.8884778,0.96,-1.35,10.05,0.02,0.02,0.1,-0.03,0.92,20,2069,good
3.8884778,0.66,-0.3,10.03,0.03,0.08,0.04,0.02,0.98,21.18,2069,good
3.8884778,-0.06,-0.47,9.81,0.01,0.04,-0.03,0.03,0.94,21.96,2009,good
3.8884778,0.04,-1.27,9.36,0.04,0.08,0.02,-0.05,0.98,22.75,2009,good
3.8889701,-0.16,-0.1,10.51,0.05,0.1,0.09,-0.09,0.99,23.53,1922.5,good
3.8889701,-0.64,-0.44,7.68,-0.19,0.13,0.04,-0.14,1.03,23.53,1816,good
3.8889701,0.24,-0.92,13.47,0.1,0.13,0.04,-0.14,1.03,23.53,1816,good
3.8889701,0.41,-1.19,11.14,0.09,0.13,-0.01,-0.14,1.02,23.14,1719,good
3.8889701,0.11,-0.16,11.56,0.2,0.06,0.01,-0.01,0.96,22.75,1719,good
3.8889701,-0.18,0.62,11.43,0.1,-0.17,0,-0.08,0.72,21.57,1602.5,good
3.8889701,0.65,0.16,9.75,0.09,0.1,0.16,-0.16,0.98,21.18,1522,good
3.8889701,0.79,0,9.89,0.07,0,0.13,0.07,0.89,20.78,1522,good
3.8889701,1.57,-0.34,10.57,0.11,0.08,0.15,-0.03,0.96,20,1482,good
3.8822465,1.66,-0.32,10.83,0.05,0.08,0.15,-0.03,0.96,20,1482,good
3.8822465,1.07,-0.43,9.32,0.05,0.08,0.16,-0.03,0.96,20,1413.5,good
3.8822465,1.12,-0.19,9.77,0.02,-0.06,0.09,0.03,0.83,20,1413.5,good
3.8822465,1.55,0.08,9.7,0.03,0.04,0.08,0.05,0.94,20,1369.5,good
3.8822465,1.11,0.28,10.44,0.04,-0.02,0.16,-0.05,0.87,20,1324,good
3.8822465,1.25,-0.07,9.96,0.04,0.11,0.17,-0.04,0.99,20,1324,good
3.8822465,1.26,-0.12,9.98,0.04,-0.05,0.15,0.04,0.84,19.61,1291,good
3.8822465,1.13,0.49,9.38,0.03,-0.05,0.15,0.04,0.84,19.61,1291,good
3.8822465,0.91,-0.48,9.92,0.04,0.02,0.12,0,0.91,19.61,1256.5,good
3.884155,1.02,-0.3,9.92,0.04,0,0.16,-0.02,0.88,19.61,1256.5,good
3.884155,0.39,0.07,11.29,0.06,0.14,0.14,-0.05,1.03,20,1210.5,good
3.884155,0.37,0.25,9.76,0.04,-0.01,0.1,-0.1,0.88,20,1210.5,good
3.884155,0.43,-0.46,9.66,0.01,-0.02,0.06,-0.09,0.87,20,1145,good
3.884155,-0.18,-0.56,9.77,1.09,-0.02,0.06,-0.09,0.87,20,1056.5,good
3.884155,-0.95,0.36,9.06,0.07,0.09,0.06,0.03,0.98,20,1056.5,good
3.884155,1.16,-1.3,10.17,0.08,0.12,0.07,-0.09,1.01,20.39,951.5,good
3.884155,1.11,-0.93,9.3,-0.02,-0.04,0.07,0,0.86,20,951.5,good
3.884155,0.98,-0.3,10.52,0.05,0.02,0.02,-0.03,0.92,20.39,833,good
3.8980575,0.65,-0.45,10.57,0.06,0.11,0.01,-0.01,1.01,21.57,833,good
3.8980575,0.39,-0.7,10.06,0.05,0.04,0.02,-0.11,0.94,25.49,754.5,good
3.8980575,0.78,-0.59,9.52,0.05,0.04,0.02,-0.11,0.94,29.41,756.5,good
3.8980575,0.16,-0.76,10.42,0.05,0.04,0.06,-0.08,0.93,28.63,756.5,good
3.8980575,1.18,-1.19,10.33,0.08,0.04,0.06,-0.08,0.93,28.24,759.5,good
3.8980575,0.78,-0.42,10.32,0.06,0,0.06,-0.04,0.89,28.24,759.5,good
3.8980575,0.93,-0.56,10.35,0.06,-0.03,0.08,-0.09,0.87,27.84,781.5,good
3.8980575,1.55,0.54,9.48,0.06,-0.02,0.05,0.03,0.88,27.84,781.5,good
3.8070884,1.67,0.49,9.74,0.03,0.04,0.18,0.05,0.92,27.84,769.5,good
3.8070884,1.79,0.31,9.97,0.04,0.04,0.19,0.05,0.92,27.84,754.5,good
3.8070884,1.38,0.37,9.92,0.04,0,0.18,0,0.89,27.84,754.5,good
3.8070884,1.34,0.08,9.64,0.01,0.01,0.13,0.01,0.9,27.84,742,good
3.8070884,1.18,0.01,9.48,0.03,-0.01,0.15,-0.01,0.88,27.84,735,good
3.8070884,1.33,0.22,10.16,0.03,-0.01,0.15,-0.01,0.88,27.45,735,good
3.8070884,1.73,-0.01,9.73,0.04,0.01,0.13,0.03,0.9,27.84,718,good
3.8070884,1.58,0.44,9.72,0.04,0.05,0.17,0.04,0.94,27.84,718,good
3.8070884,1.77,0.55,10.07,0.04,-0.01,0.15,0.02,0.87,27.84,694,good
3.876861,1.76,0.45,9.72,0.03,0.02,0.2,0.03,0.9,28.24,694,good
3.876861,1.6,0.35,9.85,0.04,0.03,0.18,0.03,0.91,28.24,703.5,good
3.876861,1.89,0.42,9.83,0.04,0.03,0.18,0.03,0.91,28.24,685,good
3.876861,1.87,0.29,9.57,0.01,0.02,0.19,0.04,0.9,28.24,685,good
3.876861,1.7,0.52,9.75,0.03,0,0.17,0.05,0.88,28.24,665.5,good
3.876861,1.88,0.18,9.83,0.03,-0.02,0.21,0.06,0.85,28.24,665.5,good
3.876861,2.01,0.91,9.77,0.04,0.01,0.21,0.07,0.89,28.63,645.5,good
3.876861,1.84,0.22,9.78,0.03,-0.01,0.22,0.02,0.86,29.41,707,good
3.8714242,1.78,0.55,9.9,0.03,0.01,0.19,0.04,0.89,29.02,707,good
3.8714242,2.05,0.48,9.66,0.03,0,0.21,0.05,0.87,29.02,776.5,good
3.8714242,1.93,0.78,9.88,0.03,0.02,0.21,0.06,0.9,30.59,776.5,good
3.8714242,2.42,0.52,9.39,0.03,0.03,0.22,0.11,0.9,31.76,819,good
3.8714242,2.02,0.71,9.84,0.05,0.03,0.22,0.11,0.9,34.9,819,good
3.8714242,2.33,0.75,9.22,0.02,0.03,0.24,0.05,0.9,37.25,816.5,good
3.8714242,2.48,1.15,9.67,0.03,0.02,0.25,0.09,0.89,40.39,806.5,good
3.8714242,2.87,0.98,9.57,0.03,0,0.27,0.09,0.86,43.14,806.5,good
3.8714242,2.83,1.05,9.23,0.01,0,0.27,0.09,0.86,44.71,773.5,good
3.8749995,2.97,0.77,9.49,0.03,0.03,0.2,0.08,0.91,46.67,773.5,good
3.8749995,2.14,0.54,9.43,0.03,-0.01,0.2,0.08,0.87,47.84,750.5,good
3.8749995,1.88,0.86,10.03,0.06,0.03,0.32,0.1,0.87,50.59,750.5,good
3.8749995,2.32,0.77,9.55,0.03,-0.01,0.23,0.09,0.86,52.16,766.5,good
3.8749995,2.86,0.73,9.25,0.03,0.01,0.28,0.12,0.87,52.94,766.5,good
3.8749995,2.96,0.96,9.16,0.03,0.01,0.28,0.12,0.87,53.33,823.5,good
3.8749995,2.62,0.62,9.62,0.04,0.02,0.29,0.09,0.87,52.94,823.5,good
3.8749995,2.87,0.75,9.48,0.04,0.03,0.31,0.09,0.88,53.33,901,good
3.8749995,3.09,0.2,9.35,0.04,0,0.29,0.08,0.86,47.06,985,good
3.873494,3.04,0.06,9.6,0.05,0.02,0.28,0.05,0.88,38.04,985,good
3.873494,3.02,0.17,10.03,0.05,0.01,0.31,0.02,0.86,30.98,1009.5,good
3.873494,3.62,-0.34,10.37,0.06,0.03,0.34,-0.02,0.87,31.37,1009.5,good
3.873494,2.74,-0.41,9.17,0,0.08,0.27,0,0.95,35.69,729,good
3.873494,3.63,-0.27,9.46,0.03,0.08,0.27,0,0.95,45.1,726.5,good
3.873494,3.28,-0.38,9.69,0.03,-0.03,0.27,-0.12,0.83,46.27,726.5,good
3.873494,2.79,-0.59,9.82,0.06,-0.03,0.27,-0.01,0.9,47.84,712.5,good
3.873494,2.58,-0.04,9.61,0.06,0.03,0.27,-0.01,0.9,50.98,712.5,good
3.873494,2.71,0.04,9.14,0.04,0.01,0.36,-0.01,0.84,51.37,781,good
3.8779042,2.97,-0.37,8.59,0.03,-0.03,0.28,-0.01,0.83,50.98,781,good
3.8779042,3.92,-0.58,10.2,0.13,0.06,0.37,-0.02,0.9,50.98,801,good
3.8779042,3.91,-0.4,10.63,0.07,0.01,0.33,-0.03,0.86,50.2,835,good
3.8779042,3.17,-0.73,8.92,0.06,0,0.34,-0.05,0.84,49.41,835,good
3.8779042,3.12,-0.23,9.21,0.01,0.02,0.3,0.03,0.87,49.02,876.5,good
3.8779042,2.77,-0.28,9.75,0.02,0.02,0.3,0.03,0.87,44.71,876.5,good
3.8779042,2.82,-0.54,9.1,0.04,0.08,0.32,-0.04,0.93,36.08,906,good
3.8779042,2.27,-0.72,9.39,0.04,0.01,0.28,0.04,0.87,29.8,906,good
3.918156,3.41,-1.45,9.82,0.05,-0.04,0.24,-0.08,0.83,25.1,912.5,good
3.918156,3.28,-1.36,8.85,0.05,-0.1,0.25,-0.06,0.77,25.1,935.5,good
3.918156,2.83,-0.69,9.69,0.05,-0.07,0.36,-0.09,0.75,25.1,935.5,good
3.918156,2.67,-0.99,8.97,-0.02,-0.07,0.36,-0.09,0.75,25.1,953.5,good
3.918156,3.02,-1.04,7.95,0.01,-0.04,0.24,-0.05,0.83,33.73,953.5,good
3.918156,3.98,-1.47,10.41,0.03,-0.27,0.18,-0.06,0.6,43.92,955.5,good
3.918156,2.96,-0.85,11.31,0.21,-0.01,0.31,-0.1,0.83,48.24,955.5,good
3.918156,3.2,-0.1,8.68,0.04,0.03,0.32,-0.1,0.88,58.43,955,good
3.918156,3.12,-0.02,10.81,0.06,-0.07,0.15,0.06,0.81,61.57,1032,good
3.8766015,3.71,-0.25,8.32,-0.05,-0.04,0.32,0.05,0.8,63.14,1032,good
3.8766015,4.32,-0.81,11.1,0.06,0.11,0.32,-0.08,0.96,63.92,1076,good
3.8766015,3.1,-0.72,9.18,0.06,0.11,0.32,-0.08,0.96,64.71,1076,good
3.8766015,3.34,0.57,8.76,0.06,0.07,0.34,0.09,0.91,67.06,1114,good
3.8766015,4.29,0.14,9.09,0.01,-0.11,0.27,0.06,0.75,65.49,1139,good
3.8766015,3.39,0.38,8.93,0.03,-0.07,0.21,0.01,0.8,66.27,1139,good
3.8766015,3.44,0.01,6.93,-0.19,0.11,0.35,0.09,0.95,67.06,1230,good
3.8766015,2.83,0.39,9.83,0.01,0.11,0.33,0.11,0.96,65.88,1230,good
3.8822274,3.98,-0.56,9.4,0.05,0.05,0.38,-0.01,0.88,64.31,1273.5,good
3.8822274,2.97,0.83,10.36,0.05,0.05,0.38,-0.01,0.88,63.92,1273.5,good
3.8822274,3.17,1.06,9.88,0.08,0.01,0.32,0.04,0.85,63.14,1320,good
3.8822274,3.38,0.15,9.59,0.05,0.08,0.39,0.01,0.91,62.75,1407,good
3.8822274,3.16,0.6,9.33,0.06,0.12,0.42,-0.08,0.93,61.96,1407,good
3.8822274,3.12,0.34,9.4,0.03,0.01,0.39,0.02,0.83,61.18,1494.5,good
3.8822274,2.94,1.09,9.48,0,-0.08,0.28,0.08,0.78,61.18,1494.5,good
3.8822274,2.93,0.64,9.57,0.03,-0.08,0.28,0.08,0.78,60,1545,good
3.8822274,3.1,0.35,9.25,0.01,0.1,0.32,0.03,0.96,60.78,1545,good
3.9011643,3.12,1,11.1,0.04,0.1,0.32,0.03,0.96,59.61,1558.5,good
3.9011643,3.22,0.56,9.29,0.03,0.18,0.32,0.1,1.03,60.39,1630,good
3.9011643,2.8,0.97,8.42,0.01,-0.06,0.3,0.07,0.79,60,1630,good
3.9011643,3.09,0.45,9.43,0.03,-0.11,0.27,0.09,0.74,59.61,1708,good
3.9011643,3,0.71,11.5,0.07,0.03,0.33,0.04,0.88,59.61,1708,good
3.9011643,2.82,0.68,9.98,0.08,0.06,0.32,0.02,0.92,60,1751.5,good
3.9011643,2.83,2.22,10.57,0.16,-0.02,0.29,0.1,0.83,61.57,1856.5,good
3.9011643,4.58,-0.59,11.04,0.03,-0.09,0.39,-0.12,0.71,61.18,1856.5,good
3.9011643,3.67,1.25,11.27,0.09,0.19,0.43,-0.15,1,62.75,1914,good
3.8106627,3.07,0.79,8.28,-0.08,0.19,0.43,-0.15,1,62.75,1914,good
3.8106627,3.42,1.71,13.47,0,-0.21,0.22,0.13,0.65,62.35,1944,good
3.8106627,3.13,1.67,7.77,0.04,0.04,0.35,-0.03,0.88,62.35,2033.5,good
3.8106627,3.87,0.94,9.83,0.1,0.03,0.33,0.11,0.87,63.53,2033.5,good
3.8106627,3.21,1.07,8.43,-0.01,-0.15,0.22,0.21,0.69,63.53,2060.5,good
3.8106627,3.13,0.3,8.66,0,-0.03,0.29,0.13,0.81,65.1,2060.5,good
3.8106627,2.98,1.36,9.87,0,-0.03,0.29,0.13,0.81,65.1,2078.5,good
3.8106627,3.04,0.76,9.67,0.06,0.04,0.3,0.1,0.89,64.31,2078.5,good
3.8106627,3.23,0.98,9.02,0.05,0.09,0.4,0.02,0.91,65.1,2198.5,good
3.9212909,3.97,-0.21,9.77,0.04,0.04,0.34,0.19,0.86,64.31,2198.5,good
3.9212909,3.79,1,10.86,0.03,-0.09,0.29,0.1,0.76,64.31,2261,good
3.9212909,2.88,1.61,10.93,0.02,-0.08,0.3,0.1,0.76,63.53,2330.5,good
3.9212909,3.14,1.14,11.06,0.04,-0.09,0.29,0.14,0.75,63.53,2330.5,good
3.9212909,2.46,1.77,9.24,0.01,-0.04,0.34,0.13,0.79,63.53,2411.5,good
3.9212909,3.13,1.14,10.24,0.04,0.16,0.32,0.17,1,61.96,2466,good
3.9212909,2.65,1.26,10.36,0.04,-0.1,0.34,-0.09,0.73,54.51,2466,good
3.9261088,3.03,-0.26,9.7,0.05,0.08,0.25,0.07,0.94,37.65,2515,good
3.9261088,2.08,0.53,9.47,0.04,0.06,0.23,0.12,0.93,36.47,2540.5,good
3.9261088,2.57,0.16,10.41,0.04,0.06,0.23,0.12,0.93,35.69,2540.5,good
3.9261088,1.84,0.64,9.93,0.05,-0.02,0.19,0.09,0.86,36.47,2588,good
3.9261088,2.5,0.41,9.37,0.03,-0.06,0.25,-0.02,0.81,38.43,2588,good
3.9261088,1.91,1.93,11.76,0.05,0.09,0.16,0.25,0.95,52.16,2624,good
3.9261088,2.73,0.93,9.1,-0.01,0.09,0.27,-0.05,0.95,50.59,2667.5,good
3.9261088,3.05,0.43,9.24,0.01,-0.06,0.26,0.15,0.8,52.16,2667.5,good
3.9261088,2.3,0.37,8.29,-0.01,-0.23,0.17,0.11,0.64,48.63,2634,good
3.9141977,1.96,0.43,9.18,-0.02,0.09,0.31,0.03,0.94,43.14,2634,good
3.9141977,1.51,1.03,10.59,0.11,0.09,0.22,0.04,1.02,27.84,2651.5,good
3.9141977,0.62,2.12,10.63,0.06,0.14,0.22,0.04,1.02,19.61,2651.5,good
3.9141977,0.82,1.7,10.6,0.12,0.1,0.12,0.11,0.99,18.43,2688.5,good
3.9141977,0.47,0.48,10.65,0.07,0.1,0.12,0.11,0.99,18.04,2626.5,good
3.9141977,1.07,0.74,10.62,0.01,-0.06,0.09,0.06,0.83,18.43,2626.5,good
3.9141977,1.19,-0.05,9.86,0.04,0.26,0.23,0.17,1.13,19.61,2655,good
3.9141977,-0.24,1.13,8.99,-0.06,0.1,0.07,-0.08,1,21.57,2655,good
3.9057446,0.12,-0.26,10.94,0.04,0.17,0.07,-0.04,1.07,22.35,2626,good
3.9057446,-0.44,0.64,10.45,0.06,0.09,0.14,-0.14,0.97,22.75,2527.5,good
3.9057446,-0.7,0.03,9.26,-0.03,-0.03,-0.03,-0.12,0.86,22.75,2527.5,good
3.9057446,-0.18,-1.49,10.81,0.06,-0.03,-0.03,-0.12,0.86,22.75,2441,good
3.9057446,-1.27,-1.26,10.1,0.06,0.01,-0.06,-0.03,0.9,22.75,2441,good
3.9057446,-1.57,-1.79,11.21,0.19,0.03,-0.17,-0.08,0.91,22.75,2253.5,good
3.9057446,-1.93,-2.27,11.41,0.19,0.14,-0.16,-0.2,1.01,23.14,2253.5,good
3.9057446,-2.28,-1.81,11.47,0.19,0.07,-0.22,-0.18,0.93,23.92,2102.5,good
3.9057446,-2.33,-1.66,11.17,0.19,0.19,-0.14,-0.25,1.05,24.71,1870.5,good
3.921051,-2.16,-2.16,11.11,0.12,0.12,-0.21,-0.15,0.99,24.31,1870.5,good
3.921051,-1.87,-1.67,10.69,0.14,0.12,-0.21,-0.15,0.99,21.57,1589.5,good
3.921051,-1.31,-1.52,10.57,0.14,0.06,-0.15,-0.22,0.93,20,1589.5,good
3.921051,-1.11,-1.35,10.55,0.11,0.08,-0.1,-0.14,0.96,20.78,1436,good
3.921051,0.01,-1.11,9.58,0.08,0.14,-0.04,-0.19,1.03,21.96,1436,good
3.921051,-0.31,-1.11,10.91,0.09,0.06,-0.07,-0.18,0.94,24.31,1174.5,good
3.921051,-0.22,-1.63,11.44,0.2,0.12,-0.02,-0.11,1.01,24.71,1086.5,good
3.921051,0.11,-1.56,10.49,0.1,0.03,-0.07,-0.1,0.92,25.1,1086.5,good
3.921051,0,-1.82,10.53,0.09,0.03,-0.07,-0.1,0.92,25.1,1042,good
3.937028,-0.13,-1,9.68,0.01,-0.01,-0.01,-0.14,0.88,25.49,1042,good
3.937028,0.09,-1.34,10.58,0.08,0.04,-0.06,-0.11,0.93,25.88,1004,good
3.937028,0.86,-0.56,10.46,0.08,0,0.02,-0.1,0.9,26.27,971.5,good
3.937028,0.93,-0.62,10.06,0.05,0,0.02,-0.1,0.9,26.27,971.5,good
3.937028,1.73,-0.03,10.31,0.07,0.08,0.12,-0.02,0.97,26.67,934,good
3.937028,1.6,0.26,9.63,0.06,0.03,0.18,0.01,0.92,27.06,934,good
3.937028,1.85,-0.22,9.54,0.05,-0.01,0.19,0.02,0.87,27.45,907.5,good
3.937028,1.74,0.05,10.18,0.03,0,0.18,0.01,0.88,27.84,907.5,good
3.8754697,1.79,-0.02,9.85,0.03,-0.01,0.15,0.02,0.88,28.24,865.5,good
3.8754697,1.83,0.1,9.83,0.03,0.02,0.17,-0.01,0.9,28.63,839,good
3.8754697,1.73,0.12,9.96,0.05,0.02,0.18,-0.01,0.9,29.02,839,good
3.8754697,1.93,-0.02,9.83,0.04,0.02,0.17,0.02,0.91,29.41,805.5,good
3.8754697,1.78,0,9.91,0.04,0.02,0.17,0.02,0.91,29.41,800,good
3.8754697,1.81,0.1,10,0.03,0,0.17,0.01,0.88,29.8,800,good
3.8754697,1.79,0.01,10.03,0.03,0,0.17,0.02,0.89,30.2,788.5,good
3.8754697,1.87,0.22,10,0.06,0.04,0.19,-0.03,0.92,30.59,757.5,good
3.8077774,1.78,0.29,9.83,0.04,-0.01,0.16,-0.01,0.88,30.98,757.5,good
3.8077774,2.01,0.17,9.86,0.05,-0.03,0.19,-0.01,0.85,30.98,758.5,good
3.8077774,1.99,0.33,9.79,0.03,0.01,0.21,0.02,0.88,31.37,758.5,good
3.8077774,1.88,0.36,9.95,0.05,-0.01,0.18,0.02,0.87,31.37,756.5,good
3.8077774,1.92,0.18,9.59,0.03,0,0.19,0,0.89,31.76,745,good
3.8077774,1.89,0.06,9.66,0.03,0.02,0.19,0.05,0.9,31.76,734.5,good
3.8798711,2,-0.17,9.79,0.04,0.06,0.21,-0.03,0.94,31.76,734.5,good
3.8798711,1.53,0.13,9.48,0.02,0.02,0.19,0.01,0.91,31.76,737,good
3.8798711,1.84,0.12,10.11,0.02,-0.02,0.17,0,0.86,31.76,737,good
3.8798711,1.48,-0.14,9.81,0.03,-0.02,0.17,0,0.86,31.76,740,good
3.8798711,1.64,0.14,10.02,0.05,0.06,0.19,0,0.94,31.76,740.5,good
3.8798711,1.63,-0.05,10.05,0.04,0.01,0.15,-0.05,0.89,31.76,740.5,good
3.8798711,1.42,0.1,10.19,0.04,0,0.14,-0.02,0.89,31.76,741.5,good
3.8798711,1.12,0.01,9.62,0.01,0.04,0.15,0,0.93,32.16,741.5,good
3.880236,1.83,-0.13,10.05,0.04,0,0.12,-0.02,0.89,32.16,743,good
3.880236,2,0.33,9.91,0.04,0.02,0.16,-0.02,0.91,32.16,749,good
3.880236,1.95,0.24,9.97,0.04,0.03,0.2,0.02,0.91,32.16,749,good
3.880236,2.08,0.24,9.76,0.04,-0.01,0.19,0.02,0.88,32.16,757,good
3.880236,2.06,0.3,9.69,0.03,-0.01,0.19,0.02,0.88,32.55,757,good
3.880236,1.94,0.33,9.77,0.03,-0.01,0.2,0.01,0.87,32.55,738.5,good
3.880236,1.88,0.15,9.86,0.04,0.03,0.21,0.03,0.9,32.55,738.5,good
3.880236,1.79,0.09,9.88,0.04,0.01,0.2,0.03,0.89,32.55,743,good
3.880236,1.62,0.14,9.79,0.04,0.03,0.21,0.06,0.91,32.55,706,good
3.8783152,2.13,0.05,9.65,0.03,0,0.18,0,0.88,32.55,706,good
3.8783152,2.36,0.56,9.61,0.03,0,0.18,0,0.88,32.55,700,good
3.8783152,2.09,0.2,10.22,0.04,0.01,0.16,0.01,0.9,32.94,700,good
3.8783152,2.18,0.51,9.75,0.04,0.01,0.22,0,0.88,32.55,662,good
3.8783152,2.05,0.48,9.81,0.03,-0.02,0.19,0.01,0.87,29.41,629.5,good
3.8783152,2.17,0.57,10.04,0.03,-0.01,0.2,0.01,0.87,30.59,629.5,good
3.8783152,1.49,0.1,9.83,0.03,0.01,0.22,-0.02,0.88,30.98,645.5,good
3.8783152,2.14,0.06,9.72,0.04,0.04,0.2,0.04,0.92,30.98,645.5,good
3.8783152,1.57,0.03,10.17,0.04,0.04,0.2,0.03,0.92,30.98,631,good
3.8770053,1.38,0.02,10.01,0.05,0.03,0.17,0.03,0.91,30.98,631,good
3.8770053,1.37,0,10.32,0.05,0.02,0.13,-0.04,0.91,30.98,650,good
3.8770053,1.48,0.23,9.91,0.04,0.02,0.13,-0.04,0.91,30.98,654,good
3.8770053,1.97,0.21,9.72,0.04,0.01,0.12,-0.03,0.91,30.98,654,good
3.8770053,1.97,-0.06,9.62,0.02,0.01,0.14,-0.03,0.9,30.98,668,good
3.8770053,1.51,-0.21,9.77,0.04,0.02,0.22,0.01,0.89,30.98,668,good
3.8770053,2.05,0.13,9.66,0.04,0.01,0.2,0,0.89,30.98,651.5,good
3.8770053,1.49,-0.01,10.12,0.06,0,0.2,0.01,0.88,30.98,651.5,good
3.8770053,1.68,-0.17,9.64,0.02,0,0.2,0.01,0.88,30.98,651.5,good
3.9099965,1.76,0.04,9.73,0.03,0.04,0.18,0.03,0.92,30.98,651.5,good
3.9099965,1.94,0.23,10.05,0.04,0.03,0.22,0.05,0.91,31.37,661,good
3.9099965,2.05,0.51,9.91,0.04,0.03,0.22,0.05,0.9,31.37,661,good
3.9099965,2.11,0.46,9.78,0.03,0,0.23,0.05,0.87,31.37,657.5,good
3.9099965,2.21,0.63,9.93,0.03,0.03,0.16,0.02,0.91,30.98,656,good
3.9099965,1.55,0.02,9.9,0.04,0.03,0.17,0.01,0.92,31.37,656,good
3.9099965,1.18,-0.21,9.86,0.04,0.03,0.17,0.01,0.92,31.76,646,good
3.9099965,1.69,0.15,10.08,0.04,0.04,0.15,0.01,0.93,31.76,641.5,good
3.8804731,1.8,0.24,9.84,0.04,-0.01,0.2,-0.03,0.87,32.16,641.5,good
3.8804731,2.11,-0.2,9.59,0.02,0.01,0.19,-0.02,0.89,32.16,663,good
3.8804731,2.26,0.24,9.44,0.04,0.01,0.17,-0.04,0.9,32.16,663,good
3.8804731,2.26,0.12,9.64,0.03,0.02,0.23,0.05,0.9,32.16,648.5,good
