 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm),label
3.9988132,2.27,-1.31,9.75,0.04,0.01,0.24,-0.13,0.87,38.43,1407,good
4.0751505,2.26,-1.35,9.73,0.05,0.02,0.24,-0.12,0.89,38.43,1407,good
4.0751505,2.36,-1.43,9.59,0.04,0.01,0.24,-0.14,0.87,38.43,1434.5,good
4.0751505,2.28,-1.35,9.75,0.04,0.01,0.24,-0.14,0.87,38.43,1434.5,good
4.0751505,2.38,-1.26,9.72,0.04,0.03,0.24,-0.13,0.89,38.82,1435,good
4.0751505,2.27,-1.29,9.68,0.04,0.03,0.24,-0.13,0.89,38.82,1442,good
4.0751505,2.22,-1.29,9.72,0.05,0.04,0.24,-0.14,0.9,38.43,1442,good
4.0751505,2.21,-1.41,9.74,0.05,0.03,0.24,-0.14,0.89,37.65,1479.5,good
4.0751505,2.42,-1.29,9.63,0.04,0.02,0.23,-0.14,0.89,37.25,1479.5,good
4.0751505,2.36,-1.28,9.68,0.04,0.03,0.24,-0.13,0.89,36.47,1490,good
4.0947137,2.23,-1.29,9.8,0.05,0.03,0.22,-0.13,0.9,37.25,1490,good
4.0947137,2.3,-1.26,9.8,0.04,0.03,0.22,-0.13,0.9,38.04,1503.5,good
4.0947137,2.28,-1.33,9.72,0.05,0.03,0.23,-0.13,0.9,37.65,1503.5,good
4.0947137,2.31,-1.28,9.69,0.05,0.02,0.23,-0.13,0.89,36.47,1484.5,good
4.0947137,2.29,-1.31,9.62,0.05,0.03,0.23,-0.13,0.89,36.08,1484.5,good
4.0947137,2.3,-1.33,9.79,0.05,0.03,0.23,-0.13,0.89,36.08,1490,good
4.0947137,2.25,-1.29,9.75,0.05,0.03,0.23,-0.13,0.9,36.08,1490,good
4.0947137,2.33,-1.25,9.85,0.05,0.03,0.23,-0.13,0.9,36.86,1500.5,good
4.0947137,2.31,-1.32,9.8,0.05,0.02,0.23,-0.13,0.89,36.86,1492,good
4.0310516,2.35,-1.39,9.63,0.04,0.03,0.23,-0.13,0.9,36.08,1492,good
4.0310516,2.35,-1.28,9.86,0.05,0.03,0.23,-0.13,0.9,36.08,1464,good
4.0310516,2.37,-1.34,9.55,0.05,0.03,0.23,-0.13,0.9,36.47,1464,good
4.0310516,2.36,-1.27,9.66,0.04,0.02,0.24,-0.13,0.89,36.08,1432,good
4.0310516,2.35,-1.27,9.65,0.05,0.04,0.23,-0.12,0.9,36.08,1432,good
4.0310516,2.21,-1.4,9.72,0.05,0.03,0.23,-0.14,0.9,36.86,1423,good
4.0310516,2.27,-1.29,9.63,0.05,0.02,0.24,-0.13,0.88,37.25,1425,good
4.0310516,2.23,-1.34,9.78,0.05,0.03,0.22,-0.12,0.9,37.25,1425,good
4.0310516,2.26,-1.29,9.85,0.05,0.03,0.22,-0.12,0.9,36.86,1423,good
4.0310516,2.31,-1.33,9.67,0.05,0.01,0.22,-0.13,0.88,36.86,1423,good
3.9961355,2.32,-1.26,9.93,0.07,0.02,0.23,-0.12,0.89,36.86,1409,good
3.9961355,2.43,-1.33,9.62,0.05,0.02,0.22,-0.13,0.89,37.25,1409,good
3.9961355,2.36,-1.24,9.7,0.05,0.02,0.22,-0.14,0.89,37.25,1409.5,good
3.9961355,2.25,-1.25,9.89,0.06,0.03,0.24,-0.13,0.89,37.65,1409.5,good
3.9961355,2.28,-1.25,9.74,0.05,0.02,0.23,-0.14,0.89,38.04,1422,good
3.9961355,2.17,-1.37,9.68,0.05,0.02,0.23,-0.14,0.89,37.65,1422,good
3.9961355,2.34,-1.35,9.75,0.05,0.01,0.24,-0.13,0.87,37.65,1417.5,good
3.9961355,2.2,-1.27,9.76,0.05,0.02,0.23,-0.13,0.88,37.65,1434.5,good
4.011165,2.38,-1.26,9.85,0.05,0.03,0.23,-0.13,0.9,37.25,1434.5,good
4.011165,2.16,-1.33,9.47,0.04,0.03,0.23,-0.13,0.9,37.25,1450.5,good
4.011165,2.3,-1.36,9.68,0.04,0.03,0.24,-0.13,0.89,38.43,1450.5,good
4.011165,2.2,-1.44,9.7,0.05,0.02,0.23,-0.14,0.89,38.82,1436,good
4.011165,2.24,-1.34,9.71,0.05,0.04,0.23,-0.13,0.91,38.43,1436,good
4.011165,2.33,-1.25,9.5,0.04,0.02,0.23,-0.13,0.89,38.04,1422,good
4.011165,2.38,-1.34,9.59,0.05,0.03,0.22,-0.14,0.9,37.65,1422,good
4.011165,2.36,-1.44,9.61,0.05,0.03,0.22,-0.14,0.9,37.65,1451.5,good
4.011165,2.19,-1.25,9.78,0.05,0.03,0.23,-0.13,0.89,37.65,1451.5,good
4.011165,2.38,-1.29,9.74,0.05,0.03,0.23,-0.13,0.89,38.43,1455,good
4.062712,2.21,-1.38,9.7,0.04,0.01,0.22,-0.14,0.88,38.04,1455,good
4.062712,2.28,-1.43,9.64,0.04,0.03,0.24,-0.12,0.9,36.86,1439,good
4.062712,2.2,-1.21,9.85,0.05,0.02,0.24,-0.13,0.89,37.65,1439,good
4.062712,2.33,-1.39,9.68,0.05,0.02,0.24,-0.15,0.87,38.04,1461.5,good
4.062712,2.24,-1.39,9.72,0.05,0.02,0.23,-0.14,0.88,37.65,1467.5,good
4.062712,2.28,-1.36,9.73,0.05,0.02,0.24,-0.13,0.88,37.65,1467.5,good
4.062712,2.28,-1.33,9.71,0.05,0.02,0.24,-0.13,0.88,37.25,1487,good
4.062712,2.3,-1.31,9.68,0.04,0.03,0.23,-0.14,0.89,37.25,1487,good
4.062712,2.25,-1.29,9.78,0.04,0.02,0.23,-0.13,0.89,37.25,1462.5,good
3.9968414,2.22,-1.22,9.79,0.04,0.03,0.23,-0.14,0.89,37.25,1462.5,good
3.9968414,2.29,-1.33,9.8,0.05,0.03,0.23,-0.12,0.9,37.25,1427.5,good
3.9968414,2.32,-1.36,9.65,0.05,0.02,0.23,-0.13,0.89,37.25,1449.5,good
3.9968414,2.34,-1.35,9.66,0.04,0.02,0.24,-0.14,0.88,37.65,1449.5,good
3.9968414,2.23,-1.26,9.74,0.04,0.02,0.24,-0.14,0.88,37.65,1449.5,good
3.9968414,2.28,-1.35,9.8,0.05,0.02,0.23,-0.13,0.89,38.04,1439.5,good
3.9968414,2.31,-1.34,9.74,0.05,0.03,0.24,-0.13,0.89,38.43,1439.5,good
3.9968414,2.28,-1.28,9.77,0.05,0.03,0.24,-0.13,0.89,38.43,1415,good
3.9968414,2.31,-1.25,9.71,0.04,0.02,0.24,-0.12,0.88,38.43,1411.5,good
3.9968414,2.22,-1.35,9.8,0.05,0.04,0.23,-0.13,0.9,38.04,1411.5,good
3.8815305,2.29,-1.34,9.63,0.05,0.02,0.24,-0.14,0.88,38.43,1412,good
3.8815305,2.27,-1.29,9.69,0.04,0.03,0.24,-0.13,0.89,38.43,1412,good
3.8815305,2.3,-1.24,9.9,0.05,0.03,0.24,-0.13,0.9,38.82,1433.5,good
3.8815305,2.33,-1.29,9.66,0.05,0.04,0.23,-0.14,0.9,38.82,1433.5,good
3.8815305,2.19,-1.29,9.65,0.05,0.04,0.23,-0.14,0.9,38.43,1414.5,good
3.8815305,2.34,-1.38,9.61,0.04,0.03,0.25,-0.14,0.89,38.04,1414.5,good
3.8815305,2.4,-1.29,9.65,0.05,0.03,0.24,-0.13,0.89,38.43,1464.5,good
3.8815305,2.27,-1.33,9.71,0.05,0.02,0.24,-0.14,0.88,38.82,1447.5,good
3.8815305,2.24,-1.31,9.66,0.04,0.02,0.25,-0.13,0.88,39.22,1447.5,good
3.846186,2.36,-1.39,9.58,0.04,0.02,0.25,-0.13,0.88,39.22,1414.5,good
3.846186,2.3,-1.39,9.77,0.04,0.03,0.24,-0.13,0.89,38.82,1414.5,good
3.846186,2.19,-1.32,9.71,0.04,0.02,0.25,-0.13,0.88,38.82,1455,good
3.846186,2.35,-1.33,9.72,0.04,0.02,0.25,-0.13,0.88,38.43,1455,good
3.846186,2.31,-1.36,9.75,0.04,0.03,0.23,-0.13,0.89,38.43,1497.5,good
3.846186,2.42,-1.28,9.7,0.04,0.03,0.23,-0.13,0.89,38.82,1480.5,good
3.846186,2.3,-1.35,9.76,0.05,0.03,0.23,-0.13,0.89,38.82,1480.5,good
3.846186,2.17,-1.44,9.63,0.05,0.03,0.23,-0.13,0.89,37.65,1482.5,good
3.7930057,2.37,-1.35,9.58,0.04,0.02,0.22,-0.15,0.88,37.25,1482.5,good
3.7930057,2.36,-1.29,9.66,0.04,0.04,0.23,-0.13,0.91,37.65,1484,good
3.7930057,2.4,-1.41,9.69,0.05,0.03,0.22,-0.14,0.9,37.65,1484,good
3.7930057,2.24,-1.27,9.81,0.05,0.02,0.23,-0.14,0.88,36.86,1502,good
3.7930057,2.24,-1.34,9.73,0.05,0.03,0.23,-0.13,0.9,36.47,1502,good
3.7930057,2.26,-1.2,9.89,0.05,0.02,0.23,-0.14,0.88,36.47,1507,good
3.7930057,2.34,-1.35,9.74,0.05,0.02,0.23,-0.13,0.89,36.47,1482,good
3.7930057,2.31,-1.27,9.79,0.05,0.02,0.23,-0.13,0.89,36.47,1482,good
3.7930057,2.34,-1.34,9.59,0.03,0.02,0.24,-0.13,0.89,36.08,1463.5,good
3.7900925,2.23,-1.28,9.66,0.04,0.02,0.23,-0.14,0.89,36.08,1463.5,good
3.7900925,2.25,-1.21,9.74,0.04,0.02,0.24,-0.14,0.89,36.08,1446.5,good
3.7900925,2.25,-1.27,9.75,0.04,0.02,0.24,-0.14,0.89,36.47,1446.5,good
3.7900925,2.23,-1.41,9.7,0.04,0.04,0.23,-0.13,0.91,36.86,1428.5,good
3.7900925,2.34,-1.26,9.58,0.04,0.02,0.23,-0.14,0.88,37.25,1428.5,good
3.7900925,2.32,-1.23,9.76,0.04,0.04,0.22,-0.12,0.91,38.04,1420,good
3.7900925,2.32,-1.34,9.63,0.05,0.03,0.22,-0.14,0.89,38.04,1420,good
3.7900925,2.31,-1.2,9.75,0.05,0.03,0.24,-0.12,0.89,38.43,1399.5,good
3.7900925,2.32,-1.28,9.75,0.05,0.04,0.23,-0.13,0.9,38.04,1399.5,good
3.7900925,2.32,-1.26,9.59,0.04,0.03,0.22,-0.14,0.9,38.04,1414,good
3.7900925,2.31,-1.22,9.8,0.04,0.03,0.23,-0.13,0.89,38.43,1399,good
3.7900925,2.26,-1.33,9.62,0.05,0.04,0.23,-0.12,0.9,39.22,1399,good
3.7900925,2.42,-1.29,9.75,0.05,0.02,0.22,-0.13,0.88,39.22,1404,good
3.7900925,2.26,-1.24,9.82,0.05,0.02,0.22,-0.13,0.88,39.22,1404,good
3.7900925,2.28,-1.38,9.72,0.05,0.03,0.23,-0.13,0.89,39.61,1423.5,good
3.7900925,2.33,-1.34,9.68,0.04,0.02,0.23,-0.13,0.89,39.22,1423.5,good
3.7900925,2.32,-1.32,9.66,0.04,0.02,0.24,-0.13,0.88,38.82,1421,good
3.7900925,2.36,-1.2,9.82,0.05,0.02,0.23,-0.13,0.89,38.43,1421,good
3.7900925,2.19,-1.26,9.89,0.05,0.02,0.23,-0.13,0.89,38.04,1466.5,good
3.7900925,2.28,-1.44,9.72,0.05,0.02,0.25,-0.14,0.88,38.43,1484.5,good
3.7900925,2.31,-1.27,9.65,0.05,0.04,0.23,-0.12,0.9,38.82,1484.5,good
3.7900925,2.28,-1.29,9.76,0.05,0.02,0.23,-0.13,0.88,38.43,1495.5,good
3.7900925,2.28,-1.31,9.83,0.05,0.02,0.23,-0.13,0.88,38.04,1495.5,good
3.7900925,2.33,-1.35,9.69,0.04,0.02,0.24,-0.13,0.88,37.65,1484,good
3.7900925,2.34,-1.19,9.68,0.04,0.01,0.23,-0.14,0.88,36.86,1484,good
3.7900925,2.21,-1.27,9.72,0.04,0.02,0.24,-0.13,0.89,36.86,1514.5,good
3.7900925,2.36,-1.28,9.77,0.05,0.02,0.23,-0.13,0.89,36.47,1514.5,good
3.7900925,2.32,-1.24,9.94,0.05,0.02,0.23,-0.13,0.89,36.47,1512.5,good
3.7900925,2.41,-1.34,9.63,0.04,0.02,0.23,-0.14,0.88,35.69,1512.5,good
3.7900925,2.25,-1.24,9.78,0.05,0.03,0.23,-0.12,0.9,35.29,1527,good
3.7900925,2.21,-1.32,9.83,0.05,0.02,0.23,-0.14,0.88,35.29,1527,good
3.7900925,2.36,-1.33,9.64,0.04,0.02,0.23,-0.13,0.88,35.69,1482.5,good
3.7900925,2.22,-1.2,9.7,0.04,0.03,0.22,-0.13,0.9,36.08,1451.5,good
3.7900925,2.37,-1.29,9.71,0.05,0.03,0.22,-0.14,0.89,35.69,1451.5,good
3.7900925,2.27,-1.18,9.82,0.05,0.03,0.22,-0.14,0.89,35.69,1449,good
3.7900925,2.28,-1.37,9.71,0.05,0.03,0.23,-0.14,0.9,35.69,1449,good
3.7900925,2.3,-1.3,9.69,0.05,0.03,0.24,-0.13,0.9,35.29,1436.5,good
3.7900925,2.3,-1.36,9.63,0.04,0.02,0.24,-0.12,0.89,34.9,1436.5,good
3.7900925,2.28,-1.24,9.78,0.04,0.02,0.24,-0.13,0.88,34.9,1462.5,good
3.7900925,2.17,-1.26,9.89,0.05,0.02,0.24,-0.13,0.88,34.9,1462.5,good
3.7900925,2.21,-1.29,9.76,0.05,0.03,0.24,-0.13,0.89,34.9,1454,good
3.7900925,2.19,-1.42,9.66,0.05,0.03,0.24,-0.14,0.89,34.9,1429,good
3.7900925,2.33,-1.13,9.68,0.04,0.03,0.26,-0.13,0.89,34.51,1429,good
3.7900925,2.32,-1.4,9.7,0.05,0.04,0.24,-0.12,0.9,34.12,1430.5,good
3.7900925,2.33,-1.23,9.55,0.04,0.01,0.23,-0.13,0.88,34.12,1430.5,good
3.7900925,2.27,-1.21,9.8,0.05,0.01,0.23,-0.13,0.88,34.51,1386.5,good
3.7900925,2.46,-1.41,9.78,0.06,0.04,0.25,-0.14,0.9,34.51,1404,good
3.7900925,2.13,-1.26,9.52,0.02,0.04,0.25,-0.14,0.9,34.51,1404,good
3.7900925,2.24,-1.33,9.72,0.04,0.02,0.22,-0.12,0.89,34.51,1426.5,good
